title,company,location,link,job_type,experience_level
Junior Analyst,Publicis Media,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/junior-analyst-at-publicis-media-4371415346,Full-time,Mid-Senior level
Data Analyst,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-deloitte-4363074938,Full-time,Mid-Senior level
Associate Data Insight Analyst [T500-21930],Albertsons Companies India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-insight-analyst-t500-21930-at-albertsons-companies-india-4364241500,Full-time,Mid-Senior level
Data Engineer with Python+PySpark,LTIMindtree,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-with-python%2Bpyspark-at-ltimindtree-4361832992,Full-time,Mid-Senior level
Data Analyst,Chevron,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-chevron-4354119298,Full-time,Mid-Senior level
Data Engineer,Meril,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-meril-4360811378,Full-time,Mid-Senior level
Data Analyst,AstraZeneca,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-astrazeneca-4368240505,Full-time,Mid-Senior level
Product Analyst,Ola,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/product-analyst-at-ola-4365037422,Full-time,Mid-Senior level
"Payment Specialist, YouTube",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/payment-specialist-youtube-at-google-4355787713,Full-time,Mid-Senior level
Data Analyst - Power Bi & SQL,IBM,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-power-bi-sql-at-ibm-4361824246,Full-time,Mid-Senior level
Data Analyst – Power BI,Innover Digital,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-%E2%80%93-power-bi-at-innover-digital-4371512375,Full-time,Mid-Senior level
Data Analyst,Indofast Energy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-indofast-energy-4369337715,Full-time,Mid-Senior level
Data Analyst - II,Tekion Corp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-tekion-corp-4353103104,Full-time,Mid-Senior level
Data Analyst - Lead,FedEx,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-lead-at-fedex-4371041012,Full-time,Mid-Senior level
Associate,PwC India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291066590,Full-time,Mid-Senior level
Business Intelligence Analyst,Concentrix,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-intelligence-analyst-at-concentrix-4369085169,Full-time,Mid-Senior level
Data Analyst,BNP Paribas,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-analyst-at-bnp-paribas-4313231131,Full-time,Mid-Senior level
Data Visualization Analyst (India),Applied Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-visualization-analyst-india-at-applied-systems-4370402000,Full-time,Mid-Senior level
Data Analyst,Gushwork,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-gushwork-4362564501,Full-time,Mid-Senior level
BI Data Analyst,ZeroFox,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/bi-data-analyst-at-zerofox-4312048636,Full-time,Mid-Senior level
Data Analyst,Bureau,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-bureau-4368830167,Full-time,Mid-Senior level
Data Center Analyst,Victoria’s Secret & Co.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-center-analyst-at-victoria%E2%80%99s-secret-co-4370859078,Full-time,Mid-Senior level
Data Analyst II,Carousell Group,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-carousell-group-4359537587,Full-time,Mid-Senior level
Data Analyst,Omnicom Global Solutions,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-omnicom-global-solutions-4371110142,Full-time,Mid-Senior level
"Data Analytics, Python- Associate",JPMorganChase,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analytics-python-associate-at-jpmorganchase-4367159249,Full-time,Mid-Senior level
Data Engineer,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-deloitte-4363191064,Full-time,Mid-Senior level
Business Data Analyst,NetApp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-data-analyst-at-netapp-4355101341,Full-time,Mid-Senior level
Data Analyst - Internal Audits [T500-21908],MUFG,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-internal-audits-t500-21908-at-mufg-4344392771,Full-time,Mid-Senior level
Data Analyst,Omnissa,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-omnissa-4368251238,Full-time,Mid-Senior level
Data Analyst,Astreya,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-astreya-4368593281,Full-time,Mid-Senior level
Sr. Data Analyst,Saviynt,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sr-data-analyst-at-saviynt-4359733973,Full-time,Mid-Senior level
Data Analyst,Greenlight,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-greenlight-4355954110,Full-time,Mid-Senior level
"Reference Data Analyst, NCT",Deutsche Bank,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/reference-data-analyst-nct-at-deutsche-bank-4370381542,Full-time,Mid-Senior level
Data Analyst,ADA,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-ada-4367220063,Full-time,Mid-Senior level
Data Analyst,Curefit,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-curefit-4353999100,Full-time,Mid-Senior level
Data Analyst,Groww,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-analyst-at-groww-4360809877,Full-time,Mid-Senior level
Business Associate (Analytics),Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-associate-analytics-at-swiggy-4366455842,Full-time,Mid-Senior level
Staff Forecasting & Data Analyst,LinkedIn,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/staff-forecasting-data-analyst-at-linkedin-4361571405,Full-time,Mid-Senior level
Lead Associate : Data Analyst,Myntra,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-associate-data-analyst-at-myntra-4366877123,Full-time,Mid-Senior level
Kreditbee - Senior Data Analyst - SQL/Python,KreditBee,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/kreditbee-senior-data-analyst-sql-python-at-kreditbee-4370911014,Full-time,Mid-Senior level
Analyst - III,Nykaa,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-iii-at-nykaa-4368968892,Full-time,Mid-Senior level
Freelance Computational Data Science Expert (Python & SQL),Mindrift,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/freelance-computational-data-science-expert-python-sql-at-mindrift-4370942250,Full-time,Mid-Senior level
Data Analyst,Epsilon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-epsilon-4367078863,Full-time,Mid-Senior level
Analyst,slice,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-at-slice-4367115565,Full-time,Mid-Senior level
Data Analyst II,Honeywell,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-honeywell-4370550281,Full-time,Mid-Senior level
Data Analyst,Expleo Group,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-expleo-group-4362251170,Full-time,Mid-Senior level
Data Analyst,SuperPe,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-superpe-4370617485,Full-time,Mid-Senior level
Data Analyst,FedEx,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371028889,Full-time,Mid-Senior level
Data Analyst,Cognizant,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-cognizant-4370406858,Full-time,Mid-Senior level
Data Insight Analyst [T500-21931],Albertsons Companies India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-insight-analyst-t500-21931-at-albertsons-companies-india-4364321337,Full-time,Mid-Senior level
Data Analyst II,Honeywell,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-honeywell-4370553081,Full-time,Mid-Senior level
Data Science INTERN,Microsoft,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-science-intern-at-microsoft-4358386656,Full-time,Mid-Senior level
Data Analyst I,Philips,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-i-at-philips-4371139029,Full-time,Mid-Senior level
"Data Analyst (SQL,HDFS, Hive)",RiskInsight Consulting Pvt Ltd.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-sql-hdfs-hive-at-riskinsight-consulting-pvt-ltd-4370337080,Full-time,Mid-Senior level
Data Analyst Intern,Eternz,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-intern-at-eternz-4370650020,Full-time,Mid-Senior level
Data Analyst,FedEx,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371039081,Full-time,Mid-Senior level
Healthcare_ Data Analyst_Q4,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/healthcare-data-analyst-q4-at-infosys-4368087694,Full-time,Mid-Senior level
Data Analyst,BSH Home Appliances India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-bsh-home-appliances-india-4365468490,Full-time,Mid-Senior level
Data Analyst,Sage,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-sage-4362780538,Full-time,Mid-Senior level
Data Modeller,GeekSoft Consulting,"Bangalore North Rural, Karnataka, India",https://in.linkedin.com/jobs/view/data-modeller-at-geeksoft-consulting-4370297815,Full-time,Mid-Senior level
Junior Analyst,Publicis Media,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/junior-analyst-at-publicis-media-4371415346,Full-time,Mid-Senior level
Data Analyst,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-deloitte-4363074938,Full-time,Mid-Senior level
Associate Data Insight Analyst [T500-21930],Albertsons Companies India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-insight-analyst-t500-21930-at-albertsons-companies-india-4364241500,Full-time,Mid-Senior level
Data Engineer with Python+PySpark,LTIMindtree,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-with-python%2Bpyspark-at-ltimindtree-4361832992,Full-time,Mid-Senior level
Data Analyst,Chevron,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-chevron-4354119298,Full-time,Mid-Senior level
Data Engineer,Meril,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-meril-4360811378,Full-time,Mid-Senior level
Data Analyst,AstraZeneca,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-astrazeneca-4368240505,Full-time,Mid-Senior level
Product Analyst,Ola,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/product-analyst-at-ola-4365037422,Full-time,Mid-Senior level
